ticker,company_name,sector,business_nature,pass,score,technical_pass,fundamental_pass,close,ma50,ma150,ma200,high_52w,low_52w,ret_63d,eps_yoy_value,rev_yoy_value,roe_3y_avg_value,eps_ge_min_qtrs,rev_ge_min_qtrs,eps_consec_qtrs,rev_consec_qtrs,annual_revenue_uptrend,eps_pass,rev_pass,roe_pass,roe_std,roe_stable,roe_quality,audit_close_stooq,audit_close_diff_pct,audit_eps_yoy_sec,audit_rev_yoy_sec,audit_roe_avg_sec,fundamentals_used,fundamentals_source,note
PHM,PulteGroup,Consumer Discretionary,Homebuilding,False,5,False,False,126.52999877929688,126.59083633422851,125.17614293416341,124.29248355865478,142.25660705566406,92.12275695800781,-0.045684798985779596,-71.20622568093384,11.80979399944999,26.291292913536626,1,2,1,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,False,5,True,False,925.9500122070312,868.1017211914062,846.4034448242187,813.9786181640625,970.7511596679688,488.92108154296875,-0.04615101101322516,18.8,14.499999999999998,14.591000000000001,3,0,2,0,False,True,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,False,5,True,False,198.69000244140625,193.6956591796875,192.16914703369142,191.02224472045899,219.7942352294922,134.9835662841797,-0.04709246929716071,0.0,4.5619736675500455,53.14545792243549,1,1,1,1,False,False,False,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
GE,GE Aerospace,Industrials,Aerospace & Defense,False,5,False,False,304.1300048828125,312.0697540283203,305.5318446858724,295.9003350067139,345.2370910644531,177.4109649658203,-0.048030748115497235,18.823529411764707,23.7654948181264,47.4572050505721,2,2,1,2,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
HBAN,Huntington Bancshares,Financials,Regional Banks,False,5,False,False,16.850000381469727,16.442523040771484,16.558894907633462,16.549770140647887,19.075923919677734,12.778428077697754,-0.05173092256188905,24.24242424242422,17.12707182320441,8.993835064115483,3,2,2,1,True,True,True,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
GD,General Dynamics,Industrials,Aerospace & Defense,False,5,False,False,336.2900085449219,349.0347711181641,343.02435913085935,334.37750915527346,365.68145751953125,260.9340515136719,-0.07989861438941892,10.175438596491237,19.687296416938118,18.42636622597601,1,1,1,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,False,5,False,False,65.06999969482422,59.005456161499026,63.73724433898926,61.9836256980896,75.73847198486328,46.76408004760742,-0.09870171317218746,-79.92277992277992,-6.540697674418605,17.85402597824686,0,2,0,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
EXPD,Expeditors International,Industrials,Air Freight & Logistics,False,5,True,False,147.3000030517578,146.66859985351562,141.84652918497721,135.73603832244874,165.0399932861328,103.52871704101562,-0.10051289696636512,0.6134969325153339,15.346449103107162,33.40580755889625,1,1,1,1,False,False,False,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,False,5,False,False,58.529998779296875,53.47030418395996,57.30684122721354,55.93667087554932,67.39778900146484,43.4949951171875,-0.10325275325401573,-79.92277992277992,-6.540697674418605,17.85402597824686,0,2,0,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
CVNA,Carvana,Consumer Discretionary,Automotive Retail,False,5,False,False,387.5299987792969,331.5572003173828,369.57300028483075,365.4531002807617,478.45001220703125,195.8300018310547,-0.15915206849159413,984.8000000000001,57.99999999999999,67.946,0,4,0,4,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
